"trial","knn_k","overlap_factor","centreline_samples","runtime_seconds","plane_count","shell_point_count","image_file","params_file","source_output_directory"
"Trial 3","3","1.0","1000","10.544250999984797","1334","278056","EC1_K3_OF1_s1k.png","EC1_K3_OF1_s1k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_285ebd25"
"Trial 4","4","1.0","1000","10.06561780004995","1299","270908","EC1_K4_OF1_s1k.png","EC1_K4_OF1_s1k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_46f74eac"
"Trial 5","5","1.0","1000","10.093081400031224","1267","263763","EC1_K5_OF1_s1k.png","EC1_K5_OF1_s1k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_9c2ff68a"
"Trial 6","6","1.0","1000","9.092028699989896","1195","252657","EC1_K6_OF1_s1k.png","EC1_K6_OF1_s1k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_1a2d2e5e"
"Trial 9","3","1.0","5000","13.01934880000772","1337","278495","EC1_K3_OF1_s5k.png","EC1_K3_OF1_s5k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_bbf61045"
"Trial 10","4","1.0","5000","11.270684900053311","1299","270861","EC1_K4_OF1_s5k.png","EC1_K4_OF1_s5k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_41ceb3e5"
"Trial 11","5","1.0","5000","11.524075099965557","1267","263936","EC1_K5_OF1_s5k.png","EC1_K5_OF1_s5k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_c7ce6671"
"Trial 12","6","1.0","5000","11.421995100041386","1195","252756","EC1_K6_OF1_s5k.png","EC1_K6_OF1_s5k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_306a15d3"
"Trial 15","3","0.5","10000","13.157308500027284","1306","274184","EC1_K3_OF0.5_s10k.png","EC1_K3_OF0.5_s10k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_622f4dcd"
"Trial 16","4","0.5","10000","11.34446829999797","1303","273580","EC1_K4_OF0.5_s10k.png","EC1_K4_OF0.5_s10k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_4e3bc919"
"Trial 17","5","0.5","10000","10.967742000008002","1273","267485","EC1_K5_OF0.5_s10k.png","EC1_K5_OF0.5_s10k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_143ee1ec"
"Trial 18","6","0.5","10000","10.597233799984679","1240","260656","EC1_K6_OF0.5_s10k.png","EC1_K6_OF0.5_s10k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_9e5d38f5"
"Trial 21","3","1.0","10000","11.806794899981469","1337","278497","EC1_K3_OF1_s10k.png","EC1_K3_OF1_s10k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_889576b4"
"Trial 22","4","1.0","10000","11.085381699958816","1299","270857","EC1_K4_OF1_s10k.png","EC1_K4_OF1_s10k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_f18499b5"
"Trial 23","5","1.0","10000","10.905839600018226","1264","263919","EC1_K5_OF1_s10k.png","EC1_K5_OF1_s10k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_29af4827"
"Trial 24","6","1.0","10000","10.000333499978296","1195","252749","EC1_K6_OF1_s10k.png","EC1_K6_OF1_s10k_params.csv","C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_1a3a210a"
